fname,chisqr,gain,pv_r,sigma,pe_res
../../data/2023-10-11_LED/NNVT_PN2305-1100_1000v.xml,0.019149747667386245,"(1315673.4758657722, 2753934.658118545)","(1.5357514461019033, 0.42771740802005453)","(2.2074801285024392, 0.33277510116940134)","(3.4782946151393346, 2.626784758526211)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1050v.xml,0.009316894397629881,"(1290716.3829441192, 383194.8440155799)","(0.999205007037377, 0.051534126429780475)","(2.9996790905503814, 0.22827091646619746)","(7.753859825646982, 1.5170783611469383)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1100v.xml,0.0002517270084504965,"(2159799.7885872223, 345751.9339900144)","(0.9987001160381647, 0.10214443252034833)","(3.3549390412445548, 0.46266819478293464)","(13.52745686305423, 2.9799500380537642)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1150v.xml,0.0005037349623077178,"(3563929.362334043, 463955.0781822349)","(0.9996374452145392, 0.13958156993837825)","(4.561183706941991, 0.8020324150557242)","(22.419056967091652, 6.800770123097173)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1200v.xml,0.0020856921672981537,"(5622124.532823308, 459541.01848164655)","(1.1953491854597311, 0.3450902718746928)","(4.93615900373858, 0.6021113970212949)","(28.23434761107031, 5.62252883820035)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1250v.xml,0.0001593538287787792,"(7753246.31518883, 1096007.646227922)","(1.2349269817578772, 0.5790264967733459)","(7.756191189196749, 1.7891755719852436)","(39.080442221671895, 14.108268891595323)"
../../data/2023-10-11_LED/NNVT_PN2305-1100_1300v.xml,0.0003216409078440177,"(10966417.920207875, 473095.12980451685)","(2.086258323776324, 0.5059931612397809)","(8.041156824259573, 0.89339244083041)","(47.04189821549846, 7.958281992888971)"
../../data/2024-01-22_LED/HAM_KM56213_900v.xml,0.002795589450751265,"(2513050.836152175, 151575.24171905578)","(0.9985571534062375, 0.11083645500052747)","(2.2709354249983167, 0.22945786313440997)","(17.944450128204284, 3.969736508944487)"
../../data/2024-01-22_LED/HAM_KM56213_950v.xml,0.002297307596569359,"(3142291.658940529, 362825.4619920814)","(0.9991024377590139, 0.1412016944196942)","(4.975187737184344, 0.6343721116488514)","(29.829917117544156, 7.758214620577185)"
../../data/2024-01-22_LED/HAM_KM56213_1000v.xml,0.002064428722124698,"(6042257.400354052, 870807.2886518574)","(1.0955875129336885, 0.3699256510391144)","(6.40561486984535, 1.1775295740662355)","(43.55510260660039, 13.258481759208566)"
../../data/2024-01-22_LED/HAM_KM56213_1050v.xml,0.0006514732740725461,"(9389683.725964826, 1046031.0828615549)","(1.4052683747228907, 0.5794288257407684)","(8.525262538225567, 1.8630192119138684)","(57.10990468279101, 18.838686200224274)"
../../data/2024-01-22_LED/HAM_KM56213_1100v.xml,0.00040042136036967354,"(13495654.378393529, 953054.1412227165)","(1.805437797225147, 0.5587590829327982)","(11.089463284065985, 1.795749785908743)","(72.22917685727433, 17.751771041055925)"
../../data/2024-01-22_LED/HAM_KM56213_1150v.xml,0.00018667245843809795,"(18786865.951581184, 3250495.924131692)","(1.737780653902926, 1.41852647846998)","(15.07129305616023, 5.6889700001716905)","(96.15629152719889, 56.17705094315369)"
../../data/2024-01-22_LED/HAM_KM56213_1200v.xml,0.0006714279832779539,"(24885553.88878113, 3203640.6954610827)","(2.464196782721981, 1.0081682739603655)","(18.178163038913162, 5.625871545964941)","(118.77377051932415, 56.876824592762055)"
../../data/2024-01-22_LED/HAM_KM56213_1250v.xml,0.00021413059961459545,"(33323235.710522708, 2321686.1482967325)","(2.968925148426265, 0.7546320367741354)","(23.26855603426675, 4.154725513588413)","(151.8654289263399, 42.10268904121182)"
../../data/2024-01-22_LED/HAM_KM56213_1300v.xml,0.0007523088598476199,"(42942745.46874722, 25685364.280957967)","(2.963979120227857, 2.3734178969262)","(30.96818678652627, 44.68474728684314)","(195.92317036741468, 440.2238315121216)"
